miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-369-3p	-2.00163100166777	0.550906056455392	-3.63334361314986	0.00120701079408991	DLBC	P2RY1
hsa-miR-27a-3p	-0.240078008230662	0.082253579082772	-2.91875455035302	0.00401140791019833	ESCA	ADORA2B
hsa-miR-30d-5p	-0.276720243291229	0.118802397131981	-2.32924797791591	0.0210728393077542	ESCA	ADRA1D
hsa-miR-1271-5p	-0.198372610667454	0.0909235017599268	-2.18175286727555	0.0305508584640313	ESCA	ADRA2C
hsa-let-7c-5p	-0.372612384564332	0.139851743387622	-2.66433850260683	0.00854091863115237	ESCA	ADRB2
hsa-miR-30a-5p	-0.650914766636383	0.19572770922583	-3.32561377850368	0.00112667816709955	ESCA	CHRM3
hsa-miR-181b-5p	-0.739289387855904	0.321659601555707	-2.29835945913111	0.0230224888205535	ESCA	CHRM3
hsa-miR-15a-5p	-0.932936006704554	0.340006713646274	-2.74387525087265	0.00686728312170061	ESCA	CHRM3
hsa-miR-148b-3p	-0.690777992112847	0.173743963625538	-3.97583880152317	0.000105190827071816	ESCA	CHRNB2
hsa-miR-30e-5p	-0.537239391917014	0.164007642845293	-3.27569729432541	0.0013056457025715	ESCA	DRD1
hsa-miR-181a-5p	-0.391417730491519	0.179846660982713	-2.17639698370125	0.0310694811824002	ESCA	DRD1
hsa-miR-182-5p	-0.322050250818818	0.102002105227173	-3.15729023534924	0.00190564701095903	ESCA	GABBR1
hsa-miR-34a-5p	-0.213724186420913	0.100748926886999	-2.12135447021315	0.0357612749899902	ESCA	GABBR2
hsa-miR-24-3p	-0.267866805882595	0.111981564517562	-2.39206164904567	0.0179598251110256	ESCA	GABRA4
hsa-miR-382-5p	-0.349097073521759	0.119319196208389	-2.92574107616403	0.00395656063852022	ESCA	GABRA4
hsa-miR-19a-3p	-0.581713125098754	0.268690836589216	-2.16499056120807	0.0320132543473142	ESCA	GABRB2
hsa-miR-15b-5p	-0.324498991780428	0.159282588669159	-2.03725337773381	0.0432724531431036	ESCA	GABRE
hsa-miR-320a	-0.474038541720329	0.20419090274214	-2.32154584437566	0.0215185823713009	ESCA	GABRP
hsa-miR-32-5p	-0.350371612445569	0.145038062572428	-2.41572181971614	0.0168825408428214	ESCA	GRIA1
hsa-miR-92b-3p	-0.243606104866531	0.117756218657074	-2.0687324002476	0.0402538399295436	ESCA	GRIA1
hsa-miR-502-3p	-0.441115835116479	0.216908820323959	-2.03364637020136	0.0437152971311986	ESCA	GRIA1
hsa-miR-181d-5p	-0.53398128957337	0.215459225556679	-2.47834033652414	0.0142644176116443	ESCA	GRIA2
hsa-miR-181a-5p	-1.08586729747341	0.34774314006624	-3.1226131370027	0.00213697300971148	ESCA	GRIA2
