miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-let-7a-5p	-4.83963118273148	1.96053504000791	-2.46852572587122	0.0204604665878216	CHOL	P2RX1
hsa-miR-23a-3p	-0.271989278538848	0.11836604952964	-2.29786564322855	0.0221983832121232	COAD	ADRA2A
hsa-let-7d-5p	-0.1746361217697	0.0803856926881542	-2.17247766274998	0.0305746080345092	COAD	ADRB1
hsa-miR-19b-3p	-0.196269896275616	0.0910288740119732	-2.15612791442197	0.0318402032431526	COAD	ADRB1
hsa-let-7g-5p	-0.579421268102205	0.16999659248151	-3.40842871991818	0.000735599125595526	COAD	ADRB2
hsa-let-7c-5p	-0.173489833057588	0.0810136615004387	-2.14148860629696	0.0329778910011979	COAD	ADRB2
hsa-miR-103a-3p	-0.33756737956741	0.11862588656475	-2.84564684271636	0.00470500439386843	COAD	CHRM1
hsa-miR-30b-5p	-0.212255934054761	0.0968284030915618	-2.19208338956132	0.0291120444232976	COAD	CHRM3
hsa-miR-362-5p	-0.207219351667676	0.0552635900220703	-3.74965418614536	0.000211013853178425	COAD	CHRM3
hsa-miR-377-3p	-0.240225613481646	0.0904907240320249	-2.65469876665623	0.00834512133865704	COAD	CHRM3
hsa-miR-181a-5p	-0.404761765715374	0.146481531565617	-2.76322729144909	0.00606314925014372	COAD	CHRM3
hsa-let-7a-5p	-0.438680001419194	0.137702921878433	-3.18569857077158	0.00158193528330414	COAD	CHRNA7
hsa-let-7i-5p	-0.256334206799316	0.0700574845677069	-3.65891251136177	0.000294759188645918	COAD	CHRNA7
hsa-miR-148b-3p	-0.482992696599648	0.18930929347757	-2.55134171031531	0.0111747664328026	COAD	CHRNB2
hsa-miR-182-5p	-0.161707951424071	0.0778234719528034	-2.07788148442079	0.038490671098823	COAD	GABBR1
hsa-miR-424-5p	-0.17239890603396	0.0767038653004547	-2.2475908529337	0.0252604001785209	COAD	GABBR1
hsa-miR-455-5p	-0.192747627791106	0.0667388973910536	-2.88808528947834	0.00414087234081044	COAD	GABRB2
hsa-miR-224-5p	-0.264241601018096	0.0437563532741155	-6.03893106362706	4.15510565137518e-09	COAD	GABRE
hsa-miR-7-5p	-0.212487007724599	0.0489345286884026	-4.34227146801882	1.87380206402297e-05	COAD	GABRP
hsa-let-7f-5p	-0.238941321998616	0.0908405872186507	-2.63033660739655	0.00895048533779605	COAD	GRIK2
hsa-miR-134-5p	-0.192284255765258	0.0613592155741145	-3.13374696801659	0.00188879444162396	COAD	GRIK2
hsa-miR-130b-3p	-0.231992198648883	0.0599771795187766	-3.86800780747376	0.000133422681749803	COAD	GRIK2
hsa-miR-16-5p	-0.63331590090991	0.148383952193463	-4.26808891088299	2.57970263735429e-05	COAD	GRIN1
hsa-miR-15b-5p	-0.290983131597048	0.124657928097941	-2.33425291144281	0.0201821246633346	COAD	GRIN1
hsa-let-7g-5p	-0.383138129963254	0.151950481831851	-2.52146702889193	0.0122244591521412	COAD	GRIN2B
hsa-miR-29a-3p	-0.379239295429155	0.116144411019214	-3.26523930080818	0.0012253106890512	COAD	GRIN2B
hsa-miR-192-5p	-0.151003791808747	0.0682743591485207	-2.21172038364008	0.0277682921443125	COAD	GRIN2B
hsa-miR-98-5p	-0.59823924865448	0.216705591949585	-2.76060826706149	0.00609094561981426	COAD	P2RX1
hsa-miR-200a-3p	-0.263973873932875	0.11411036453433	-2.31332074882172	0.021319315487441	COAD	P2RY1
hsa-miR-377-3p	-0.391663697403451	0.160181774273181	-2.4451202340629	0.0150208903499936	COAD	P2RY2
hsa-miR-15a-5p	-1.41351155811574	0.501044510204054	-2.82112971867525	0.00840657530259022	DLBC	ADORA2A
hsa-miR-330-3p	-0.742062833311472	0.337715052549458	-2.19730458476617	0.0378915297202375	DLBC	ADRA2A
hsa-miR-7-5p	-0.758688759992074	0.335705367323005	-2.25998400335997	0.032097397077239	DLBC	GABBR1
hsa-miR-15a-5p	-0.994130164256097	0.342172660629386	-2.90534656517418	0.00695414663797583	DLBC	GABRE
hsa-miR-424-5p	-0.517418140200261	0.18215826032082	-2.8404868342999	0.00815359810907786	DLBC	GABRE
