numOfgainMut	numOfHotMutPosi	gainMf	numOfLofMut	lofMf	numOfNonsMut
HTR1E	19	6	0.283582089552239	5	0.0746268656716418	67
HTR1F	7	3	0.11864406779661	9	0.152542372881356	59
HTR2A	2	1	0.04	7	0.14	50
HTR2B	0	0	0	4	0.19047619047619	21
HTR2C	18	9	0.219512195121951	7	0.0853658536585366	82
HTR3A	6	3	0.0952380952380952	7	0.111111111111111	63
HTR3B	11	5	0.215686274509804	7	0.137254901960784	51
HTR3C	8	4	0.177777777777778	4	0.0888888888888889	45
HTR3D	9	4	0.264705882352941	4	0.117647058823529	34
HTR3E	13	6	0.288888888888889	2	0.0444444444444444	45
HTR4	6	3	0.13953488372093	4	0.0930232558139535	43
HTR5A	32	14	0.385542168674699	8	0.0963855421686747	83
HTR6	4	2	0.121212121212121	2	0.0606060606060606	33
HTR7	14	7	0.233333333333333	7	0.116666666666667	60
OPRD1	7	3	0.189189189189189	0	0	37
OPRK1	19	9	0.322033898305085	6	0.101694915254237	59
OPRL1	8	4	0.181818181818182	2	0.0454545454545455	44
OPRM1	14	6	0.229508196721311	7	0.114754098360656	61
P2RX1	2	1	0.0952380952380952	3	0.142857142857143	21
P2RX2	4	2	0.0851063829787234	8	0.170212765957447	47
P2RX3	6	3	0.171428571428571	6	0.171428571428571	35
P2RX4	0	0	0	2	0.117647058823529	17
P2RX5	2	1	0.0740740740740741	4	0.148148148148148	27
P2RX6	0	0	0	4	0.25	16
P2RX7	0	0	0	5	0.192307692307692	26
P2RY1	4	2	0.133333333333333	1	0.0333333333333333	30
P2RY11	0	0	0	1	0.111111111111111	9
P2RY12	0	0	0	2	0.0833333333333333	24
P2RY13	2	1	0.0666666666666667	7	0.233333333333333	30
P2RY14	2	1	0.0740740740740741	7	0.259259259259259	27
P2RY2	2	1	0.0769230769230769	2	0.0769230769230769	26
P2RY4	0	0	0	0	0	23
P2RY6	10	5	0.384615384615385	1	0.0384615384615385	26
